states,Transaction_Year,Transaction_Count,Transaction_Amount
Andhra Pradesh,2020,12266310,31221704852
Andhra Pradesh,2020,11934653,32037007334
Andhra Pradesh,2020,46551467,91879823025
Andhra Pradesh,2020,29590411,61505711150
Andhra Pradesh,2020,27981050,64461504668
Andhra Pradesh,2020,26136538,60641872021
Andhra Pradesh,2020,25989490,58732615663
Andhra Pradesh,2020,20996384,49732610814
Andhra Pradesh,2020,20934374,49115443663
Andhra Pradesh,2020,18737323,44718203115
Andhra Pradesh,2020,16176867,41852443494
Andhra Pradesh,2020,15676878,42572974713
Andhra Pradesh,2021,48248923,95308386038
Andhra Pradesh,2021,29717175,69715406645
Andhra Pradesh,2021,29342609,60947491847
Andhra Pradesh,2021,27445045,64207987853
Andhra Pradesh,2021,26190701,60027984988
Andhra Pradesh,2021,22541428,52210333202
Andhra Pradesh,2021,20102957,48353870395
Andhra Pradesh,2021,17918524,44941629660
Andhra Pradesh,2021,16015685,42124030669
Andhra Pradesh,2021,15374473,42570919449
Andhra Pradesh,2021,54390299,1.14439E+11
Andhra Pradesh,2021,36370960,90021923050
Andhra Pradesh,2021,34344902,73654690122
Andhra Pradesh,2021,32968819,82356914464
Andhra Pradesh,2021,31717908,74604325864
Andhra Pradesh,2021,30290406,72283071757
Andhra Pradesh,2021,25123346,60987487571
Andhra Pradesh,2021,21972396,56659287475
Andhra Pradesh,2021,20950964,57233116236
Andhra Pradesh,2021,19944047,54535328043
Andhra Pradesh,2021,69220981,1.36946E+11
Andhra Pradesh,2021,44828275,1.04418E+11
Andhra Pradesh,2021,42628568,89371931753
Andhra Pradesh,2021,41675093,96525353090
Andhra Pradesh,2021,39572714,89380370073
Andhra Pradesh,2021,34411958,77839676988
Andhra Pradesh,2021,30366444,70291248156
Andhra Pradesh,2021,26377809,62527453762
Andhra Pradesh,2021,26245039,66647238455
Andhra Pradesh,2021,24116580,63367713447
Andhra Pradesh,2021,82711538,1.5953E+11
Andhra Pradesh,2021,55489829,1.25015E+11
Andhra Pradesh,2021,51119640,1.03986E+11
Andhra Pradesh,2021,50919286,1.15554E+11
Andhra Pradesh,2021,48992531,1.06726E+11
Andhra Pradesh,2021,41921081,92256405076
Andhra Pradesh,2021,36129136,81239787007
Andhra Pradesh,2021,33235175,81292461575
Andhra Pradesh,2021,31782248,73968947670
Andhra Pradesh,2021,27858275,71323060008
Andhra Pradesh,2022,88233362,1.7012E+11
Andhra Pradesh,2022,61826199,1.3969E+11
Andhra Pradesh,2022,58561024,1.17901E+11
Andhra Pradesh,2022,57226996,1.29674E+11
Andhra Pradesh,2022,54738830,1.21067E+11
Andhra Pradesh,2022,47645702,1.04896E+11
Andhra Pradesh,2022,40613148,90197023268
Andhra Pradesh,2022,37271259,92397939904
Andhra Pradesh,2022,35093633,81568420501
Andhra Pradesh,2022,31340975,79494373255
Andhra Pradesh,2022,101387402,1.93243E+11
Andhra Pradesh,2022,73525814,1.63998E+11
Andhra Pradesh,2022,67507661,1.36435E+11
Andhra Pradesh,2022,66315749,1.47098E+11
Andhra Pradesh,2022,62072845,1.35531E+11
Andhra Pradesh,2022,54838708,1.21941E+11
Andhra Pradesh,2022,46099366,1.02139E+11
Andhra Pradesh,2022,44409239,1.07973E+11
Andhra Pradesh,2022,40165692,92409350856
Andhra Pradesh,2022,36163507,90435082546
Andhra Pradesh,2022,97434546,1.81124E+11
Andhra Pradesh,2022,71051144,1.53771E+11
Andhra Pradesh,2022,65751781,1.33054E+11
Andhra Pradesh,2022,65612317,1.41589E+11
Andhra Pradesh,2022,61467134,1.29678E+11
Andhra Pradesh,2022,45165363,97735649608
Andhra Pradesh,2022,43635951,1.01707E+11
Andhra Pradesh,2022,42116582,95099325968
Andhra Pradesh,2022,39557913,88415335176
Andhra Pradesh,2022,35376080,87475230073
Andhra Pradesh,2022,103790055,1.85306E+11
Andhra Pradesh,2022,76526667,1.57826E+11
Andhra Pradesh,2022,70723763,1.46939E+11
Andhra Pradesh,2022,70322534,1.36841E+11
Andhra Pradesh,2022,68016055,1.36531E+11
Andhra Pradesh,2022,48299601,1.01534E+11
Andhra Pradesh,2022,47919930,1.05336E+11
Andhra Pradesh,2022,43524766,94667441029
Andhra Pradesh,2022,42582064,92085916181
Andhra Pradesh,2022,37211077,88105031866
Arunachal Pradesh,2018,14224,32555848.46
Arunachal Pradesh,2018,5787,9540632.547
Arunachal Pradesh,2018,3747,11496949.55
Arunachal Pradesh,2018,3286,5533620.186
Arunachal Pradesh,2018,3195,5380749.415
Arunachal Pradesh,2018,2334,5055665.023
Arunachal Pradesh,2018,2321,4361531.578
Arunachal Pradesh,2018,1887,4796675.565
Arunachal Pradesh,2018,1477,3650727.894
Arunachal Pradesh,2018,1400,2162984.705
Arunachal Pradesh,2018,25363,66520931.2
Arunachal Pradesh,2018,10466,25521321.34
Arunachal Pradesh,2018,6962,20520618.88
Arunachal Pradesh,2018,6363,15285584.2
Arunachal Pradesh,2018,6066,13294258.5
Arunachal Pradesh,2018,5447,13722374.81
Arunachal Pradesh,2018,4634,10271170.17
Arunachal Pradesh,2018,3230,6271811.328
Arunachal Pradesh,2018,2579,7610989.567
Arunachal Pradesh,2018,2292,2179451.658
Arunachal Pradesh,2018,43282,101080479.3
Arunachal Pradesh,2018,17026,48528147.45
Arunachal Pradesh,2018,11595,32702331.66
Arunachal Pradesh,2018,10539,24885270.77
Arunachal Pradesh,2018,10162,20494174.95
Arunachal Pradesh,2018,8715,25733824.99
Arunachal Pradesh,2018,5288,18327334.05
Arunachal Pradesh,2018,5076,10698272.77
Arunachal Pradesh,2018,3337,12966152.79
Arunachal Pradesh,2018,3322,7479257.008
Arunachal Pradesh,2018,55224,154875448.2
Arunachal Pradesh,2018,25439,89194886.84
Arunachal Pradesh,2018,14268,40510521.95
Arunachal Pradesh,2018,13950,32343047.41
Arunachal Pradesh,2018,12893,34272134.34
Arunachal Pradesh,2018,11104,35921510.89
Arunachal Pradesh,2018,7244,17643523.29
Arunachal Pradesh,2018,6581,22545311.85
Arunachal Pradesh,2018,5725,10811742.67
Arunachal Pradesh,2018,4227,10951332.39
Arunachal Pradesh,2019,70941,188556716.4
Arunachal Pradesh,2019,34289,101333633.7
Arunachal Pradesh,2019,17589,40239141.67
Arunachal Pradesh,2019,15896,42834776.78
Arunachal Pradesh,2019,15621,39284373.05
Arunachal Pradesh,2019,13102,39489779.14
Arunachal Pradesh,2019,8600,20065516.62
Arunachal Pradesh,2019,7287,25349462.06
Arunachal Pradesh,2019,6877,14075747.84
Arunachal Pradesh,2019,6314,13738776.18
Arunachal Pradesh,2019,86433,246640891.3
Arunachal Pradesh,2019,37430,122521180.8
Arunachal Pradesh,2019,18693,48893746.83
Arunachal Pradesh,2019,18631,48891048.26
Arunachal Pradesh,2019,16494,46549881.24
Arunachal Pradesh,2019,15960,55915834.59
Arunachal Pradesh,2019,9637,22491356.66
Arunachal Pradesh,2019,8041,24549832.98
Arunachal Pradesh,2019,6868,18633793.43
Arunachal Pradesh,2019,6744,23464027.89
Arunachal Pradesh,2019,117940,301518075.7
Arunachal Pradesh,2019,53939,147186019.9
Arunachal Pradesh,2019,29218,58354823.44
Arunachal Pradesh,2019,24505,54539458.21
Arunachal Pradesh,2019,24097,72221026.28
Arunachal Pradesh,2019,22611,58040119.96
Arunachal Pradesh,2019,13453,25507641.02
Arunachal Pradesh,2019,11889,30014806.82
Arunachal Pradesh,2019,11249,21737827.19
Arunachal Pradesh,2019,10269,26620415.02
Arunachal Pradesh,2019,143272,378838002.3
Arunachal Pradesh,2019,66740,198205637.5
Arunachal Pradesh,2019,33963,71874990.96
Arunachal Pradesh,2019,30077,91949243.61
Arunachal Pradesh,2019,29281,67502324.59
Arunachal Pradesh,2019,26605,72075285.44
Arunachal Pradesh,2019,18290,32501252.24
Arunachal Pradesh,2019,16459,38467790.73
Arunachal Pradesh,2019,14581,39460255.47
Arunachal Pradesh,2019,11806,29634357.49
Arunachal Pradesh,2020,180373,457430754.2
Arunachal Pradesh,2020,75363,198712422.2
Arunachal Pradesh,2020,43858,93461363.59
Arunachal Pradesh,2020,36985,83701268.27
Arunachal Pradesh,2020,33743,82011539.43
Arunachal Pradesh,2020,31865,84425193.42
Arunachal Pradesh,2020,23112,46444942.96
Arunachal Pradesh,2020,19728,47929440.73
Arunachal Pradesh,2020,18369,40877851.79
Arunachal Pradesh,2020,15770,34273250.72
Arunachal Pradesh,2020,221728,535085907.3
Arunachal Pradesh,2020,95421,251395972.2
Arunachal Pradesh,2020,69279,128572448
Arunachal Pradesh,2020,56541,114730675.5
Arunachal Pradesh,2020,55680,112693868.8
Arunachal Pradesh,2020,44499,121561732.2
Arunachal Pradesh,2020,34972,54870798.31
Arunachal Pradesh,2020,32777,72790231.05
Arunachal Pradesh,2020,28830,63497030.84
Arunachal Pradesh,2020,26234,42360072.53
Arunachal Pradesh,2020,298350,859373863.7
Arunachal Pradesh,2020,111029,332812237.8
Arunachal Pradesh,2020,73842,159158438.9
Arunachal Pradesh,2020,69710,176323789.9
Arunachal Pradesh,2020,65889,156523653.2
Arunachal Pradesh,2020,56016,182137862.7
Arunachal Pradesh,2020,37019,76484566.53
Arunachal Pradesh,2020,34295,92449732.96
Arunachal Pradesh,2020,30046,81539831.53
Arunachal Pradesh,2020,27655,63469161.33
Arunachal Pradesh,2020,390528,1205917754
Arunachal Pradesh,2020,129575,390436113.7
Arunachal Pradesh,2020,88632,250515095.2
Arunachal Pradesh,2020,84852,204367875.1
Arunachal Pradesh,2020,80530,196997836.8
Arunachal Pradesh,2020,67262,240482254.6
Arunachal Pradesh,2020,46762,111916731.5
Arunachal Pradesh,2020,45207,125118193
Arunachal Pradesh,2020,36124,104709589.7
Arunachal Pradesh,2020,33455,81929299.57
Arunachal Pradesh,2021,419891,1388723427
Arunachal Pradesh,2021,120906,384735272.8
Arunachal Pradesh,2021,82357,253988360.8
Arunachal Pradesh,2021,78849,220167765.5
Arunachal Pradesh,2021,72380,198534806.9
Arunachal Pradesh,2021,54137,207859088.4
Arunachal Pradesh,2021,45753,116637630.7
Arunachal Pradesh,2021,42575,138700637.3
Arunachal Pradesh,2021,32427,90709108.52
Arunachal Pradesh,2021,32043,110593517.1
Arunachal Pradesh,2021,552953,1501062555
Arunachal Pradesh,2021,164866,482626617.9
Arunachal Pradesh,2021,106787,286839106.5
Arunachal Pradesh,2021,105461,264031910.3
Arunachal Pradesh,2021,99686,230495504.2
Arunachal Pradesh,2021,70061,251025038
Arunachal Pradesh,2021,64781,147069902.4
Arunachal Pradesh,2021,59341,180700138.8
Arunachal Pradesh,2021,46320,144548683.3
Arunachal Pradesh,2021,42091,105552358.1
Arunachal Pradesh,2021,710098,1995999756
Arunachal Pradesh,2021,209165,658232385.7
Arunachal Pradesh,2021,128957,368061706.2
Arunachal Pradesh,2021,120126,319705502.4
Arunachal Pradesh,2021,117879,275160751.4
Arunachal Pradesh,2021,89052,365404078.4
Arunachal Pradesh,2021,79292,177380632.2
Arunachal Pradesh,2021,65763,217065611.3
Arunachal Pradesh,2021,50270,133788747
Arunachal Pradesh,2021,47118,143620525.9
Arunachal Pradesh,2021,919925,2435796597
Arunachal Pradesh,2021,247346,765859269.3
Arunachal Pradesh,2021,169617,450185173
Arunachal Pradesh,2021,147432,403255246.4
Arunachal Pradesh,2021,142772,328942905.3
Arunachal Pradesh,2021,105194,220513367.7
Arunachal Pradesh,2021,99575,412396002.3
Arunachal Pradesh,2021,79050,267978346.9
Arunachal Pradesh,2021,65302,174980099.8
Arunachal Pradesh,2021,60146,199366119.1
Arunachal Pradesh,2022,1163726,2909248439
Arunachal Pradesh,2022,240672,705607894
Arunachal Pradesh,2022,201945,501600929
